Node,Community
0,0
1,29
2,10
3,20
4,4
5,19
6,0
7,2
8,30
9,2
10,28
11,2
12,13
13,23
14,26
15,23
16,13
17,16
18,5
19,14
20,25
21,16
22,14
23,22
24,17
25,6
26,29
27,5
28,17
29,9
30,26
31,15
32,19
33,27
34,28
35,24
36,25
37,24
38,24
39,29
40,28
41,7
42,13
43,16
44,32
45,24
46,28
47,24
48,26
49,28
50,24
51,29
52,15
53,1
54,12
55,30
56,16
57,7
58,2
59,5
60,20
61,28
62,15
63,12
64,30
65,16
66,20
67,7
68,2
69,18
70,9
71,15
72,9
73,2
74,24
75,4
76,2
77,9
78,18
79,31
80,16
81,10
82,28
83,20
84,9
85,18
86,18
87,19
88,0
89,10
90,24
91,25
92,24
93,19
94,20
95,11
96,30
97,30
98,19
99,28
100,3
101,27
102,19
103,14
104,3
105,20
106,31
107,31
108,20
109,10
110,9
111,3
112,32
113,26
114,2
115,6
116,5
117,2
118,9
119,31
120,20
121,27
122,2
123,32
124,24
125,6
126,3
127,31
128,9
129,6
130,19
131,24
132,19
133,0
134,19
135,4
136,22
137,3
138,9
139,20
140,23
141,19
142,26
143,2
144,24
145,12
146,5
147,31
148,19
149,28
150,19
151,32
152,9
153,18
154,15
155,4
156,13
157,15
158,15
159,19
160,23
161,9
162,25
163,2
164,22
165,3
166,19
167,23
168,22
169,6
170,7
171,14
172,13
173,29
174,6
175,2
176,3
177,18
178,19
179,24
180,29
181,22
182,29
183,11
184,30
185,17
186,29
187,9
188,20
189,27
190,20
191,25
192,20
193,19
194,10
195,22
196,9
197,7
198,29
199,24
200,18
201,10
202,12
203,14
204,2
205,17
206,17
207,14
208,6
209,19
210,6
211,22
212,2
213,4
214,24
215,9
216,17
217,28
218,6
219,29
220,28
221,4
222,20
223,28
224,3
225,6
226,29
227,18
228,19
229,9
230,20
231,18
232,3
233,3
234,20
235,14
236,18
237,22
238,27
239,17
240,5
241,17
242,9
243,22
244,23
245,28
246,26
247,14
248,9
249,5
250,9
251,9
252,22
253,28
254,30
255,14
256,22
257,23
258,8
259,17
260,17
261,14
262,19
263,12
264,22
265,19
266,16
267,29
268,29
269,22
270,0
271,31
272,11
273,5
274,13
275,29
276,31
277,14
278,11
279,22
280,12
281,22
282,19
283,31
284,10
285,28
286,14
287,16
288,18
289,24
290,18
291,18
292,16
293,20
294,9
295,22
296,7
297,24
298,16
299,26
300,13
301,22
302,7
303,13
304,28
305,12
306,11
307,15
308,17
309,20
310,5
311,28
312,24
313,20
314,13
315,24
316,11
317,22
318,24
319,23
320,9
321,7
322,17
323,18
324,18
325,31
326,22
327,7
328,22
329,25
330,11
331,32
332,16
333,29
334,12
335,9
336,7
337,10
338,11
339,19
340,20
341,18
342,19
343,16
344,15
345,20
346,22
347,11
348,12
349,19
350,6
351,24
352,24
353,12
354,27
355,0
356,16
357,27
358,19
359,22
360,29
361,9
362,6
363,28
364,9
365,20
366,15
367,32
368,7
369,9
370,22
371,20
372,20
373,3
374,19
375,22
376,2
377,2
378,27
379,24
380,6
381,19
382,12
383,3
384,10
385,22
386,15
387,23
388,32
389,9
390,23
391,4
392,12
393,5
394,10
395,22
396,26
397,22
398,19
399,13
400,19
401,9
402,9
403,13
404,9
405,13
406,22
407,28
408,19
409,18
410,13
411,15
412,9
413,15
414,27
415,24
416,22
417,2
418,6
419,31
420,28
421,9
422,26
423,19
424,18
425,13
426,31
427,23
428,6
429,23
430,19
431,19
432,13
433,2
434,2
435,29
436,12
437,13
438,17
439,2
440,29
441,29
442,18
443,13
444,22
445,22
446,2
447,7
448,27
449,14
450,2
451,23
452,15
453,12
454,7
455,12
456,2
457,13
458,24
459,6
460,19
461,6
462,29
463,17
464,5
465,13
466,5
467,28
468,28
469,0
470,6
471,23
472,4
473,14
474,3
475,23
476,13
477,18
478,18
479,12
480,18
481,26
482,27
483,29
484,28
485,24
486,3
487,28
488,22
489,7
490,5
491,24
492,3
493,28
494,2
495,17
496,29
497,2
498,20
499,12
500,19
501,14
502,15
503,5
504,22
505,6
506,29
507,12
508,12
509,26
510,5
511,14
512,16
513,30
514,14
515,14
516,14
517,13
518,19
519,32
520,7
521,16
522,17
523,5
524,16
525,18
526,29
527,19
528,28
529,12
530,5
531,5
532,20
533,23
534,14
535,17
536,14
537,11
538,5
539,2
540,10
541,15
542,22
543,28
544,16
545,16
546,12
547,15
548,9
549,16
550,29
551,22
552,17
553,28
554,19
555,12
556,19
557,23
558,5
559,15
560,5
561,31
562,3
563,2
564,24
565,17
566,17
567,11
568,14
569,9
570,24
571,23
572,17
573,24
574,19
575,19
576,22
577,25
578,13
579,26
580,3
581,31
582,26
583,18
584,25
585,9
586,17
587,20
588,10
589,19
590,18
591,12
592,11
593,4
594,4
595,28
596,19
597,4
598,19
599,6
600,30
601,7
602,29
603,20
604,30
605,4
606,9
607,15
608,18
609,2
610,19
611,7
612,29
613,27
614,22
615,19
616,20
617,6
618,26
619,3
620,20
621,2
622,22
623,32
624,24
625,30
626,11
627,9
628,18
629,22
630,6
631,2
632,22
633,22
634,3
635,4
636,27
637,7
638,22
639,6
640,4
641,4
642,16
643,24
644,27
645,26
646,24
647,26
648,2
649,12
650,17
651,18
652,11
653,5
654,13
655,17
656,13
657,7
658,28
659,3
660,28
661,2
662,3
663,6
664,12
665,12
666,6
667,25
668,12
669,22
670,32
671,25
672,32
673,12
674,2
675,13
676,27
677,3
678,17
679,32
680,17
681,19
682,15
683,7
684,18
685,15
686,19
687,23
688,11
689,25
690,10
691,17
692,9
693,13
694,24
695,12
696,17
697,22
698,6
699,31
700,22
701,23
702,13
703,25
704,20
705,17
706,6
707,29
708,17
709,2
710,27
711,6
712,27
713,6
714,20
715,30
716,9
717,22
718,20
719,27
720,29
721,18
722,17
723,28
724,20
725,9
726,22
727,12
728,29
729,23
730,22
731,18
732,12
733,14
734,9
735,28
736,2
737,20
738,2
739,29
740,23
741,24
742,26
743,27
744,2
745,9
746,5
747,14
748,13
749,2
750,29
751,9
752,14
753,27
754,25
755,12
756,24
757,28
758,27
759,26
760,9
761,5
762,15
763,32
764,0
765,13
766,12
767,2
768,16
769,22
770,0
771,16
772,13
773,9
774,7
775,26
776,29
777,5
778,10
779,32
780,32
781,22
782,19
783,13
784,20
785,13
786,28
787,28
788,22
789,22
790,26
791,26
792,9
793,19
794,18
795,26
796,2
797,31
798,15
799,19
800,12
801,13
802,0
803,11
804,11
805,31
806,9
807,12
808,5
809,13
810,28
811,13
812,11
813,13
814,22
815,19
816,9
817,22
818,18
819,29
820,12
821,16
822,26
823,12
824,7
825,17
826,24
827,24
828,28
829,18
830,22
831,12
832,7
833,24
834,10
835,12
836,23
837,16
838,13
839,19
840,2
841,19
842,24
843,20
844,24
845,25
846,22
847,7
848,12
849,31
850,24
851,19
852,9
853,15
854,24
855,2
856,2
857,30
858,9
859,19
860,15
861,21
862,4
863,18
864,0
865,0
866,0
867,27
868,19
869,3
870,7
871,6
872,18
873,6
874,22
875,13
876,31
877,13
878,16
879,32
880,9
881,25
882,12
883,2
884,25
885,19
886,12
887,32
888,22
889,22
890,4
891,6
892,18
893,27
894,2
895,20
896,9
897,9
898,23
899,9
900,3
901,13
