0	1.0
1	0.999341129962115	0.00032943501894251357
2	0.9760529891304348	0.006453804347826087
3	0.9560933448573898	0.006568712186689715
4	0.908604069975009	0.01535166012138522
5	0.8320118015858381	0.015858380969942836
6	0.764105526670518	0.016560754862314654
7	0.6652055938217492	0.023168440826549782
8	0.5547382085677196	0.03028991778450887
9	0.5445220427760803	0.030554343081623744
10	0.5348378615249781	0.03067484662576687
11	0.5340061430451952	0.030715225976305396
12	0.5332893869479235	0.03076246978686003
13	0.5265009896635144	0.030789531559269848
